timestamp,sweep,model,harness,prompt,max_tokens,kv_mode,sink_tokens,simd_matmul,fused_kv_min,block_len,accept_mode,temp,ddtree,prefill_s,decode_tps,total_tokens,accept_rate,extra
2026-05-29T15:20:29Z,quick,gemma-4-e4b-it-4bit,ar_bench,short,64,unset,-,-,-,-,greedy,0.0,off,0.19,48.61,kv_backend=standard,,
2026-05-29T15:20:36Z,quick,gemma-4-e4b-it-4bit,ar_bench,short,64,PAGED,-,-,-,-,greedy,0.0,off,0.19,45.22,kv_backend=paged,,
2026-05-29T16:37:15Z,full,Qwen3.6-27B-4bit,generate,short,256,PAGED,-,-,-,-,greedy,0.0,off,0.89,19.1,256,kv_backend=paged,
2026-05-29T16:38:06Z,full,Qwen3.6-27B-4bit,generate,long,64,PAGED,-,-,-,-,greedy,0.0,off,21.54,18.7,64,kv_backend=paged,
2026-05-29T16:39:18Z,full,Qwen3.6-27B-4bit,generate,long,256,PAGED,-,-,-,-,greedy,0.0,off,21.60,18.8,256,kv_backend=paged,
2026-05-29T16:39:38Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,TURBO_KV,0,1,8192,-,greedy,0.0,off,1.46,9.0,64,kv_backend=turboquant,
2026-05-29T16:39:57Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,TURBO_KV,4,1,8192,-,greedy,0.0,off,1.47,8.9,64,kv_backend=turboquant,
2026-05-29T16:40:55Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,unset,-,-,-,-,greedy,0.0,off,1.45,8.9,226,kv_backend=standard,
2026-05-29T16:41:46Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,1.44,8.9,163,kv_backend=quantized,
2026-05-29T16:42:48Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,PAGED,-,-,-,-,greedy,0.0,off,1.47,9.0,256,kv_backend=paged,
2026-05-29T16:43:50Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,TURBO_KV,0,unset,8192,-,greedy,0.0,off,1.46,8.9,256,kv_backend=turboquant,
2026-05-29T16:44:53Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,TURBO_KV,0,1,8192,-,greedy,0.0,off,1.46,8.8,256,kv_backend=turboquant,
2026-05-29T16:45:56Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,TURBO_KV,4,unset,8192,-,greedy,0.0,off,1.46,8.7,256,kv_backend=turboquant,
2026-05-29T16:47:00Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,short,256,TURBO_KV,4,1,8192,-,greedy,0.0,off,1.47,8.6,256,kv_backend=turboquant,
2026-05-29T16:48:08Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,unset,-,-,-,-,greedy,0.0,off,27.25,8.3,64,kv_backend=standard,
2026-05-29T16:49:15Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,24.82,8.6,64,kv_backend=quantized,
2026-05-29T16:50:21Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,PAGED,-,-,-,-,greedy,0.0,off,24.32,8.8,64,kv_backend=paged,
2026-05-29T16:51:26Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,0,unset,8192,-,greedy,0.0,off,24.51,8.6,64,kv_backend=turboquant,
2026-05-29T16:52:32Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,0,unset,512,-,greedy,0.0,off,25.11,8.6,64,kv_backend=turboquant,
2026-05-29T16:53:39Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,0,1,8192,-,greedy,0.0,off,25.20,8.5,64,kv_backend=turboquant,
2026-05-29T16:54:47Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,0,1,512,-,greedy,0.0,off,25.71,8.5,64,kv_backend=turboquant,
2026-05-29T16:55:55Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,4,unset,8192,-,greedy,0.0,off,25.52,8.5,64,kv_backend=turboquant,
2026-05-29T16:57:03Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,4,unset,512,-,greedy,0.0,off,25.73,8.5,64,kv_backend=turboquant,
2026-05-29T16:58:11Z,full,Qwen3.6-27B-UD-MLX-4bit,generate,long,64,TURBO_KV,4,1,8192,-,greedy,0.0,off,25.51,8.4,64,kv_backend=turboquant,
